p_rank,mean_c_rank
2,34.55
3,35.93
4,37.04
5,38.64
6,39.59
7,40.13
8,40.39
9,41.13
10,41.47
11,42.64
12,42.67
13,43.35
14,44.09
15,44.45
16,44.44
17,44.93
18,44.94
19,45.62
20,45.67
21,45.24
22,45.66
23,45.72
24,46.41
25,46.03
26,46.7
27,47.1
28,46.85
29,47.49
30,47.25
31,47.38
32,47.72
33,47.68
34,48.41
35,47.56
36,48.2
37,48.6
38,49.21
39,48.37
40,49.11
41,49.06
42,49.35
43,49.48
44,49.8
45,49.94
46,49.63
47,49.96
48,50.28
49,50.77
50,50.46
51,50.93
52,51.06
53,50.97
54,51.05
55,51.79
56,52.04
57,52.42
58,51.6
59,53.01
60,52.39
61,52.65
62,52.36
63,52.88
64,53.16
65,53.47
66,53.2
67,53.65
68,53.96
69,53.84
70,53.69
71,54.19
72,54.17
73,54.05
74,55.33
75,54.48
76,55.52
77,55.2
78,55.87
79,55.94
80,56.58
81,56.17
82,56.22
83,56.7
84,57.25
85,57.14
86,57.45
87,57.88
88,57.63
89,57.78
90,58.41
91,58.33
92,59.27
93,59.38
94,59.77
95,60.55
96,60.15
97,61.09
98,61.35
99,61.79
100,63.74
