n,Share,decile,origin,child,sd,gender,mixity,order_gender,order_origin
16,0.0154291224686596,9,South Europe,53.375,28.6237081222309,Female,No native parent,1,3
19,0.0162116040955631,8,South Europe,64.421052631579,31.6163034410232,Male,No native parent,0,3
20,0.0170648464163823,9,South Europe,70.4,25.3385497861097,Male,No native parent,0,3
26,0.0250723240115718,8,South Europe,52.0769230769231,26.6306936851793,Female,No native parent,1,3
36,0.0345158197507191,1,Other,42.9722222222222,31.0993671144709,Male,One native parent,0,4
41,0.0383177570093458,1,Other,32.6829268292683,25.4258126953597,Female,One native parent,1,4
45,0.0490196078431373,10,Other,57.6,34.2639487189988,Female,No native parent,1,4
45,0.0182481751824818,10,North Africa,68.3555555555556,34.7492024470645,Male,No native parent,0,2
46,0.048884165781084,10,Other,67.0652173913044,33.5628115455273,Male,No native parent,0,4
48,0.0203994900127497,8,North Africa,50.1875,32.3864013030423,Female,No native parent,1,2
48,0.0522875816993464,7,Other,48,31.1953351668196,Female,No native parent,1,4
49,0.0208244793880153,9,North Africa,55.1632653061225,31.6111444870684,Female,No native parent,1,2
49,0.0520722635494155,8,Other,61.3265306122449,30.8351718517872,Male,No native parent,0,4
50,0.0212494687632809,10,North Africa,66.2,30.4711305323312,Female,No native parent,1,2
52,0.0220994475138122,7,North Africa,47.2884615384615,33.3445098155848,Female,No native parent,1,2
54,0.0520732883317261,7,South Europe,50.0740740740741,27.1396471465584,Female,No native parent,1,3
54,0.0460750853242321,7,South Europe,61.9259259259259,30.3848595935988,Male,No native parent,0,3
54,0.0573857598299681,9,Other,65.0185185185185,32.2955051143962,Male,No native parent,0,4
55,0.0599128540305011,5,Other,50.7818181818182,30.5181736438949,Female,No native parent,1,4
56,0.0610021786492375,9,Other,60.6964285714286,27.5812318551828,Female,No native parent,1,4
57,0.0515837104072398,1,South Europe,46.9298245614035,27.39646721824,Male,One native parent,0,3
57,0.0605738575982997,7,Other,54.3859649122807,32.3577956968006,Male,No native parent,0,4
58,0.0631808278867102,8,Other,53.7586206896552,31.1489406453459,Female,No native parent,1,4
59,0.0642701525054466,6,Other,49.0677966101695,31.4444580977534,Female,No native parent,1,4
59,0.0626992561105207,6,Other,55.2542372881356,29.877677759283,Male,No native parent,0,4
60,0.024330900243309,9,North Africa,57.9333333333333,31.8060151366067,Male,No native parent,0,2
61,0.0568499534016775,1,South Europe,31.672131147541,23.7828518835704,Female,One native parent,1,3
63,0.0255474452554745,8,North Africa,64.3015873015873,29.8872261637379,Male,No native parent,0,2
65,0.0588235294117647,10,South Europe,69.2307692307692,29.6251419990105,Male,One native parent,0,3
66,0.0267639902676399,6,North Africa,45.530303030303,32.3053792600788,Male,No native parent,0,2
67,0.0624417520969245,10,South Europe,53.8358208955224,28.0889264360721,Female,One native parent,1,3
68,0.0635514018691589,3,Other,38.3676470588235,25.9913328905197,Female,One native parent,1,4
68,0.0651965484180249,2,Other,49.6470588235294,31.0136054428319,Male,One native parent,0,4
68,0.0651965484180249,4,Other,57,30.232926599095,Male,One native parent,0,4
68,0.0275750202757502,7,North Africa,52.4411764705882,31.3699077941452,Male,No native parent,0,2
68,0.0722635494155154,4,Other,54.9558823529412,28.5246339328111,Male,No native parent,0,4
70,0.0654205607476636,2,Other,33.0857142857143,23.1802907642934,Female,One native parent,1,4
71,0.075451647183847,5,Other,44.9295774647887,29.2444495069025,Male,No native parent,0,4
72,0.0690316395014382,3,Other,52.3472222222222,28.0458175045624,Male,One native parent,0,4
