paperId,url,title,abstract,year,venue,pdf_url,citex,n
03388bfdf9f969c4f368231aaf25d1d8729d1f60,https://www.semanticscholar.org/paper/03388bfdf9f969c4f368231aaf25d1d8729d1f60,Can inequality and intergenerational upward mobility coexist: the impact of skill-biased technological change,"",2025,Applied Economics Letters,"","@Article{Zou2025CanIA,
 author = {Wei Zou and Liming Zheng and Ruiqi Ma},
 booktitle = {Applied Economics Letters},
 journal = {Applied Economics Letters},
 title = {Can inequality and intergenerational upward mobility coexist: the impact of skill-biased technological change},
 year = {2025}
}
",1
1357407864f25a6ed4cedb4f1ad806c2aeaeddc1,https://www.semanticscholar.org/paper/1357407864f25a6ed4cedb4f1ad806c2aeaeddc1,Sibling correlations and intergenerational mobility across immigrant groups,"",2025,Journal of Population Economics,"","@Article{Colagrossi2025SiblingCA,
 author = {Marco Colagrossi and C. Deiana and A. Geraci and Ludovica Giua and Gianluca Mazzarella},
 booktitle = {Journal of Population Economics},
 journal = {Journal of Population Economics},
 title = {Sibling correlations and intergenerational mobility across immigrant groups},
 year = {2025}
}
",2
138f00753c0cd0130a1c29e0ebe8ce8eadca5a4e,https://www.semanticscholar.org/paper/138f00753c0cd0130a1c29e0ebe8ce8eadca5a4e,Testing the psychological costs of intergenerational social mobility: Evidence from a German panel study.,"",2025,Social Science & Medicine (1967),"","@Article{Becker2025TestingTP,
 author = {Michael Becker and Lilly-Marlen Bihler and Martin Neugebauer and Jenny Wagner},
 booktitle = {Social Science & Medicine (1967)},
 journal = {Social science & medicine},
 pages = {
          118522
        },
 title = {Testing the psychological costs of intergenerational social mobility: Evidence from a German panel study.},
 volume = {384},
 year = {2025}
}
",3
1d314ea10d2b014f562dcfd335f670643882ef0d,https://www.semanticscholar.org/paper/1d314ea10d2b014f562dcfd335f670643882ef0d,Trends and Structural Decomposition of Intergenerational Absolute Income Mobility in China: Evidence from Birth Cohorts 1961–1988,"",2025,Economic Systems,"","@Article{Zhao2025TrendsAS,
 author = {Chenghao Zhao and Yifei Sun and Yiran Wang and Min Wei},
 booktitle = {Economic Systems},
 journal = {Economic Systems},
 title = {Trends and Structural Decomposition of Intergenerational Absolute Income Mobility in China: Evidence from Birth Cohorts 1961–1988},
 year = {2025}
}
",4
21d9cedce25bfebc058165f67905f03b3c5c9af4,https://www.semanticscholar.org/paper/21d9cedce25bfebc058165f67905f03b3c5c9af4,Gender Differences in Intergenerational Occupational Persistence and Mobility in Central Europe,"",2025,Czech Sociological Review,"","@Article{Smith2025GenderDI,
 author = {Michael L. Smith},
 booktitle = {Czech Sociological Review},
 journal = {Czech Sociological Review},
 title = {Gender Differences in Intergenerational Occupational Persistence and Mobility in Central Europe},
 year = {2025}
}
",5
22f0748f4b5a7413b277c726569effaf41c608e9,https://www.semanticscholar.org/paper/22f0748f4b5a7413b277c726569effaf41c608e9,The associations between intergenerational mobility of income and cognitive function in midlife-The Young Finns Study.,"",2025,Social Science & Medicine (1967),"","@Article{Nurmi2025TheAB,
 author = {Amanda Nurmi and T. Vepsäläinen and K. Pahkala and Elina Puolakka and L. Pulkki-Råback and Marko Elovainio and M. Juonala and Nina Hutri and M. Kähönen and T. Lehtimäki and E. Jokinen and T. Laitinen and P. Tossavainen and L. Taittonen and J. Viikari and O. Raitakari and S. Rovio},
 booktitle = {Social Science & Medicine (1967)},
 journal = {Social science & medicine},
 pages = {
          118325
        },
 title = {The associations between intergenerational mobility of income and cognitive function in midlife-The Young Finns Study.},
 volume = {382},
 year = {2025}
}
",6
28e02b9ec4dea6ac8273056ca91fe88cd9256e93,https://www.semanticscholar.org/paper/28e02b9ec4dea6ac8273056ca91fe88cd9256e93,The Intergenerational Mobility of Career Aspirations Among Middle School Students Within China's Dual Urban-Rural Structure (Poster 3),"",2025,Proceedings of the 2025 AERA Annual Meeting,"","@Article{Fan2025TheIM,
 author = {Qiyin Fan},
 booktitle = {Proceedings of the 2025 AERA Annual Meeting},
 journal = {Proceedings of the 2025 AERA Annual Meeting},
 title = {The Intergenerational Mobility of Career Aspirations Among Middle School Students Within China's Dual Urban-Rural Structure (Poster 3)},
 year = {2025}
}
",7
2dcd5b1074a2e66bcf7c6fa7c5a6725601cb1cfc,https://www.semanticscholar.org/paper/2dcd5b1074a2e66bcf7c6fa7c5a6725601cb1cfc,Intergenerational Mobility in Depression and Anxiety in India,"",2025,Social Science Research Network,"","@Article{Hervé2025IntergenerationalMI,
 author = {Justine Hervé and Subha Mani and Jere R. Behrman and Ramanan Laxminarayan and Arindam Nandi},
 booktitle = {Social Science Research Network},
 journal = {SSRN Electronic Journal},
 title = {Intergenerational Mobility in Depression and Anxiety in India},
 year = {2025}
}
",8
381bb4b38cb5da644b62734b7b0b17210df6637a,https://www.semanticscholar.org/paper/381bb4b38cb5da644b62734b7b0b17210df6637a,Intergenerational Income Mobility and the Bailout Programs: Evidence from Greece ,"",2025,Social Science Research Network,"","@Article{Kitsoleris2025IntergenerationalIM,
 author = {Georgios Kitsoleris and Tuan Anh Luong},
 booktitle = {Social Science Research Network},
 journal = {SSRN Electronic Journal},
 title = {Intergenerational Income Mobility and the Bailout Programs: Evidence from Greece },
 year = {2025}
}
",9
3da9d32e74f0f72836408d86efb753dfa2ad9730,https://www.semanticscholar.org/paper/3da9d32e74f0f72836408d86efb753dfa2ad9730,Intergenerational Social Mobility and Gender Equality Status in Bangladesh: A Cross-Sectional Study,"",2025,Journal of Social Political Sciences,"","@Article{Azad2025IntergenerationalSM,
 author = {A. K. Azad and Md Mahbub-ul Alam and Shamme Akter},
 booktitle = {Journal of Social Political Sciences},
 journal = {Journal of Social and Political Sciences},
 title = {Intergenerational Social Mobility and Gender Equality Status in Bangladesh: A Cross-Sectional Study},
 year = {2025}
}
",10
3dde185579686fc027c44d9ae7cde49390d95ad9,https://www.semanticscholar.org/paper/3dde185579686fc027c44d9ae7cde49390d95ad9,"Reseña a Jeffrey EASTON, Municipal Freedmen and Intergenerational Social Mobility in Roman Italy","",2025,Veleia,"","@Article{Nuñez2025ReseñaAJ,
 author = {Javier Norberto Nuñez},
 booktitle = {Veleia},
 journal = {Veleia},
 title = {Reseña a Jeffrey EASTON, Municipal Freedmen and Intergenerational Social Mobility in Roman Italy},
 year = {2025}
}
",11
