country,estimator,paperId,pdf_title,estimate,source,overall_average,n_estimate_overall,estimate_expanded,n_estimate_expanded,estimate_selected,n_estimate_selected,estimate_restricted,n_estimate_restricted
Australia,IGE,12539e729dfa42a869434ffdde7d9c56d3e8ad64,Intergenerational mobility across Australia and the stability of regional estimates,0.188,Table B.5,0.238205567418033,122,0.237942148760331,121,0.192586206896552,29,0.1965,2
Australia,IRA,12539e729dfa42a869434ffdde7d9c56d3e8ad64,Intergenerational mobility across Australia and the stability of regional estimates,0.232,Table B.5,0.233033333333333,90,0.233033333333333,90,0.210793103448276,29,0.2285,2
Austria,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.333491653,Online data,0.106213093285714,7,0.333491653,1,0.333491653,1,0.333491653,1
Belgium,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.358204752,Online data,0.182800528,9,0.358204752,1,0.358204752,1,0.358204752,1
Brazil,IGE,76d917dc2f8c8e67ca363d3220c6171f016922ed,Intergenerational Mobility: An Assessment for Latin American Countries,0.479,Table 3,0.566898440925926,27,0.567846153846154,26,0.444,2,0.444,2
Brazil,IRA,2f2b6be8ec2ff0b01e6d839f4a8f70f9040e52e4,Intergenerational Mobility in the Land of Inequality,0.546,Table B2,0.495942857142857,14,0.495942857142857,14,0.556,2,0.556,2
Bulgaria,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.638320744,Online data,0.638320744,1,0.638320744,1,0.638320744,1,0.638320744,1
Canada,IGE,1a907213aa114a334b1420faac30113f1f84d7d1,Intergenerational Income Mobility in Canada and the United States,0.31,Table 2,0.280929370428571,7,0.294833333333333,6,0.3234,5,0.3234,5
Canada,IRA,a050d311e42a0e108875f33e74a07072af07ce01,The Canadian Geography of Intergenerational Income Mobility,0.242,Table 5,0.208133333333333,15,0.208133333333333,15,0.242,1,0.242,1
Chile,IGE,fef8715fa9f5408d868bc0183c79a61dd3daba0f,"Essays on economic inequality, income taxes, and intergenerational mobility",0.333,Table 1.13,0.355657128433333,60,0.3144375,48,0.311,4,0.333,1
Chile,IRA,fef8715fa9f5408d868bc0183c79a61dd3daba0f,"Essays on economic inequality, income taxes, and intergenerational mobility",0.276,Table 1.13,0.245653846153846,52,0.253863636363636,44,0.269,4,0.276,1
China,IGE,df5948c4454035c103ac42c93ba23967be0035f9,Does government education expenditure boost intergenerational mobility? Evidence from China,0.384,Table 4,0.420259775703911,179,0.421485333333333,150,0.30911052631579,19,0.36,2
China,IRA,e1cd6c0903976967e43e4d81b3df1e37db5092b6,The Great Gatsby Curve in China: Cross-Sectional Inequality and Intergenerational Mobility,0.403,Table 2,0.361913461538462,104,0.334636065573771,61,0.362666666666667,15,0.403,1
Cyprus,IGE,2ab45d477175e737d301bd361fb4c8bf2a0bd403,INTERGENERATIONAL INCOME MOBILITY IN CYPRUS,0.104,Table 3,0.2394802234,30,0.2387266755,4,0.104,1,0.104,1
Czech Republic,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.491243869,Online data,0.491243869,1,0.491243869,1,0.491243869,1,0.491243869,1
Denmark,IGE,5a9dc686c6a83c476ec9cf900526f18feb94b9c9,Finding the Land of Opportunity Intergenerational Mobility in Denmark,0.251,Table 3.2,0.203324412265957,188,0.210247195087912,182,0.25459375,32,0.159,2
Denmark,IRA,5a9dc686c6a83c476ec9cf900526f18feb94b9c9,Finding the Land of Opportunity Intergenerational Mobility in Denmark,0.049,Table 3.2,0.19548,25,0.19548,25,0.163428571428571,7,0.049,1
Ecuador,IGE,added_ref_004,Intergenerational Mobility in Ecuador: A First Approach,0.23,Text,0.442743624333333,6,0.2275,4,0.22,2,0.22,2
Ecuador,IRA,added_ref_004,Intergenerational Mobility in Ecuador: A First Approach,0.2718,Table 4,0.2922,4,0.2922,4,0.2544,2,0.2544,2
Estonia,IGE,b61ecbd1aa5ee93cf918e59b153fc7545a5c45c3,Intergenerational Income Mobility around the World,0.347485125,Online data,0.347485125,1,0.347485125,1,0.347485125,1,0.347485125,1
