country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,CORstd,BETA,BETAstd,MU050_randomtiebreak,MU050_lb,MU050_ub,Q4Q4_randomtiebreak,Q4Q4_lb,Q4Q4_ub,BHQ1_randomtiebreak,BHQ1_lb,BHQ1_ub,BHQ2_randomtiebreak,BHQ2_lb,BHQ2_ub,BHQ3_randomtiebreak,BHQ3_lb,BHQ3_ub,BHQ4_randomtiebreak,BHQ4_lb,BHQ4_ub,Q4BH_randomtiebreak,Q4BH_lb,Q4BH_ub,Q4child_randomtiebreak,tm11,tm12,tm13,tm14,tm15,tm21,tm22,tm23,tm24,tm25,tm31,tm32,tm33,tm34,tm35,tm41,tm42,tm43,tm44,tm45,tm51,tm52,tm53,tm54,tm55
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,all,3956,.66612476,.098582916,.17093068,.043031473,.021330182,.51185697,.02580462,.16419129,.18346915,.11467795,2.4801621,5.5824008,3.8097816,5.8577647,.11709236,.41435471,.48007634,3.2032983,.41669065,.32997543,.63310826,.5847466,.54255289,0,.52167583,.0115757,.80210745,.020861031,38.267929,37.521069,39.747608,.58874452,.56477803,.57656682,.34330001,.26514596,.46987721,.32529986,.10193096,.5565412,.21598764,.050572164,.36078095,.11541249,.067410849,.1577709,.16169952,.15213759,.16066469,.25031462,.67002457,.021557031,.1505245,.11155808,.04633582,.32441121,.04248051,.28732952,.2145192,.13125955,.1917915,.038485013,.18497686,.37207848,.21266815,.013688119,.015775098,.071571067,.35641286,.54255289,.0086062783,0,.042164572,.42536065,.5238685
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,daughter,721,.6153211,.099271752,.21277559,.051969059,.020662477,.62848145,.023378422,.099265099,.1323224,.11655261,2.9899917,4.3317313,4.0103793,5.9026852,.25332066,.28307503,.31335872,1.4333878,.28489456,.17423947,.50935423,.44540733,.47483027,0,.57625061,.02492643,.84815562,.044860784,31.137949,31.926859,32.204727,.50535405,.50200146,.57209778,.43981525,.40526733,.4851405,.38444826,.31599107,.45656687,.10575411,.040149301,.16191132,.069982387,.036957085,.098016493,.28440753,.069407463,.31889105,.21694402,.82576054,.0067397985,.073715866,.038697045,.055086762,.43726951,.05337625,.22262456,.13444646,.15228324,.35949817,.065479912,.12961456,.2800025,.16540483,0,0,.081337258,.44383246,.47483027,.022873711,0,0,.60599226,.37113401
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,avg,son,3235,.67869866,.098412432,.16057406,.040819421,.021495437,.48299247,.026405104,.18026051,.19612795,.11421397,2.3539793,5.8919411,3.7484949,5.8061409,.12346732,.44687408,.52133894,3.6417239,.44931018,.36492074,.6640048,.63044435,.56389248,0,.52144164,.012806038,.80767447,.023244644,39.630493,38.780289,41.362717,.61587656,.57250458,.59902859,.32288617,.223673,.49446681,.31275025,.01556804,.62922478,.23934245,.035034575,.43588993,.12502113,.054075226,.17935902,.1217899,.10646791,.13251142,.25857383,.63507926,.024881842,.16775945,.12790723,.044372212,.29623491,.039760265,.30348384,.23451024,.12601075,.13679036,.029631758,.20313349,.40227574,.22816864,.018001292,.020745883,.068493702,.32886663,.56389248,.0052119261,0,.052195907,.38238674,.5602054
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,all,4137,.68658054,.047609806,.057308592,.15090708,.057594001,.51456213,.026046939,.16563793,.18155099,.112202,3.7560487,5.5382752,5.493762,5.8420348,.11709236,.35024402,.37278134,2.1102159,.35433298,.34210727,.73178267,.36632064,.26078659,0,.48376021,.011911923,.51442778,.014473185,38.853134,40.513165,40.514721,.54951358,.54358822,.57475901,.33514935,.26024383,.46518752,.31631297,.10092155,.54099852,.21993847,.049351431,.37410268,.12859921,.059788246,.16772367,.19294269,.15487917,.19740286,.25029588,.65789276,.022829937,.15383834,.11392244,.051516544,.23464684,.033570457,.39919537,.15756801,.17501931,.35394764,.036012307,.24371943,.28110406,.085216582,.18824548,.031403668,.1667269,.35283735,.26078659,.052131969,.03422606,.032684345,.45971721,.42124042
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,daughter,744,.63909161,.052328411,.054086313,.19009995,.064393722,.63035399,.022781378,.10373571,.12955287,.11357607,4.5208774,4.2777681,5.8047752,5.8697367,.25332066,.23012604,.23522033,.12881845,.23516972,.18986429,.81913972,.2333893,.20241588,0,.48634911,.028031947,.49179187,.032435883,31.846794,27.812794,32.321236,.45362276,.49190229,.49963224,.4296692,.34025347,.57112449,.37878826,.17660214,.59556025,.1100072,0,.22445835,.081535332,.027815023,.10722179,.33938774,.30063242,.31589642,.21157491,.81013572,.0063233967,.080123425,.040041413,.063376062,.1808603,0,.47055906,.12135862,.22722201,.53741902,.095466539,.13372511,.18085872,.052530583,.36275849,.057701495,.10161742,.27550673,.20241588,.079379469,.040495619,.021053692,.55061954,.30845171
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,dad,son,3393,.69812435,.046462782,.058091883,.14137988,.05594109,.48641485,.026840748,.18068545,.19419096,.11186799,3.5701301,5.8446856,5.4000921,5.7949357,.12346732,.3791815,.4062928,2.5875518,.38329983,.37598592,.70786667,.39640617,.27986526,0,.4975141,.012922445,.53389132,.015985675,40.192749,37.292618,40.308609,.57916093,.55626762,.61086047,.31494644,.2213866,.48740774,.30296624,.054940142,.53577596,.24341792,.098346695,.33019504,.13866942,.12745707,.14449075,.14767095,.10740799,.15941267,.25970837,.62401408,.02650314,.17024213,.1303632,.048877444,.24937215,.042761147,.37965792,.16748117,.16072762,.31242365,.022556391,.26861379,.30379197,.092614204,.13120532,.022808133,.18800816,.37811312,.27986526,.044507708,.032471742,.035938777,.43428138,.45280039
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,all,3956,.66612476,.043961223,.058528241,.16865119,.062734582,.51185697,.02580462,.16419129,.18346915,.11467795,4.0617547,5.5824008,5.6620908,5.8577647,.11709236,.33637598,.35781929,1.8844703,.34168968,.32997543,.69249254,.36087731,.26032686,0,.5082767,.011795022,.52584207,.014168951,38.309429,37.505001,39.747608,.57235622,.55688691,.56763417,.34449819,.26417777,.47094461,.32252589,.10027573,.55785698,.21552663,.051424731,.35996196,.11744928,.06881772,.15703061,.16994214,.15086484,.17645955,.25034246,.67002457,.021557031,.1505245,.11155808,.04633582,.26457778,.042929672,.33595699,.17171869,.1848169,.35670283,.039307714,.24311212,.26917437,.09170296,.1773048,.030861152,.19013163,.34137556,.26032686,.049829479,.032714412,.045577027,.45080206,.42107701
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,daughter,721,.6153211,.042243581,.063212268,.20860182,.070621207,.62848145,.023378422,.099265099,.1323224,.11655261,4.8542042,4.3317313,5.9155045,5.9026852,.25332066,.21610859,.22322792,-.15092935,.22268745,.17423947,.77009141,.24368155,.21907011,0,.51569396,.027384436,.51457638,.03188299,31.554413,31.784191,32.204727,.47221044,.48567659,.50455511,.4377057,.4065021,.48136798,.38472372,.32305831,.44824591,.10354046,.046230715,.15922186,.074030146,.036351833,.099021256,.29974383,.26964068,.29497343,.21498854,.82576054,.0067397985,.073715866,.038697045,.055086762,.2299086,0,.35817838,.12306965,.28884336,.55507582,.083824769,.11741786,.19755687,.046124686,.33714139,.053961769,.14363213,.2461946,.21907011,.074276559,.037892357,.019700255,.55886513,.3092657
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,max,son,3235,.67869866,.044386342,.057368945,.15876342,.060782649,.48299247,.026405104,.18026051,.19612795,.11421397,3.8656235,5.8919411,5.5812869,5.8061409,.12346732,.36583033,.39120722,2.3829544,.37114269,.36492074,.67421401,.39283764,.2737433,0,.52107859,.01281269,.54207128,.015615587,39.609371,38.783058,41.362717,.60449976,.56518006,.58699483,.32450363,.22184128,.49778923,.30926389,.012312283,.63235456,.23948747,.033796974,.43760002,.12674505,.052298471,.17933461,.12828186,.11293615,.1449158,.25909254,.63507926,.024881842,.16775945,.12790723,.044372212,.27274415,.053041831,.33072269,.18317805,.16031328,.30260476,.027167514,.27739009,.28870508,.10413256,.12532689,.023348968,.20525301,.37232783,.2737433,.042799447,.031225435,.053018186,.41972733,.45322961
Afghanistan,AFG,South Asia,South Asia,Developing economies,Low income,Low income,Yes,NRVA,2011,Co-residents only,1980,mom,all,4371,.91111279,.0095800525,.024668276,.04691162,.0077272388,.52453423,.026111748,.16439773,.17894135,.10601494,1.0611202,5.4427314,3.286447,5.8058333,.11709236,.44615513,.49037448,4.4303899,.44777292,.43008479,.91379309,.76424068,.49550951,0,.36475348,.013115073,.64437312,.024885431,44.856018,27.766407,46.480728,.40108874,.39237273,.60534948,.27663821,.17643864,.60927886,.26640582,0,.75139558,.25447059,0,.53671092,.2024854,0,.23668107,.3527056,.061792556,.47006607,.25029087,.56991524,.026523143,.16791816,.1614286,.074214883,.052223887,.033983007,.08908046,.5396052,.28510743,.14619116,.033042211,.056525957,.46608442,.29815623,.023141297,.017170995,.17783335,.28634486,.49550951,.010997522,0,.10548327,.22800496,.65551424
