n,year18,male,order_male,frac,sd,lb,ub,lower_ribbon,upper_ribbon
2499,2004,Male,0,0.763550919605633,0.42494989210248,0.746881780695403,0.780220058515862,0.763550919605633,0.763550919605633
2499,2004,Female,1,0.821379393614287,0.383070370602964,0.806353026179808,0.836405761048766,0.763550919605633,0.763550919605633
2577,2002,Female,1,0.860233041945115,0.34677666754571,0.846837976020187,0.873628107870042,0.790089685896116,0.790089685896116
2577,2002,Male,0,0.790089685896116,0.407290677136891,0.774357123756139,0.805822248036094,0.790089685896116,0.790089685896116
2641,2003,Male,0,0.75006721092846,0.433021906634676,0.73354481922066,0.766589602636259,0.75006721092846,0.75006721092846
2641,2003,Female,1,0.844167458998645,0.362732033261892,0.830327048971594,0.858007869025697,0.75006721092846,0.75006721092846
2703,2001,Male,0,0.801381230603101,0.399003350256183,0.786332627248617,0.816429833957585,0.801381230603101,0.801381230603101
2703,2001,Female,1,0.850921350219322,0.356198366214384,0.837487157435642,0.864355543003002,0.801381230603101,0.801381230603101
2907,1999,Female,1,0.878041169413685,0.327265576870182,0.866139529009431,0.889942809817939,0.797326121716591,0.797326121716591
2907,1999,Male,0,0.797326121716591,0.402032773819997,0.782705428790404,0.811946814642777,0.797326121716591,0.797326121716591
2949,2000,Female,1,0.855944171899504,0.351175625001503,0.843264342421789,0.86862400137722,0.801400488833612,0.801400488833612
2949,2000,Male,0,0.801400488833612,0.398986038169783,0.786994378136264,0.81580659953096,0.801400488833612,0.801400488833612
3251,1997,Male,0,0.771076818746751,0.420179243681363,0.756627879324256,0.785525758169246,0.771076818746751,0.771076818746751
3251,1997,Female,1,0.871284411522516,0.334912701875275,0.859767580517676,0.882801242527357,0.771076818746751,0.771076818746751
3299,1998,Male,0,0.779732739985865,0.414464606117087,0.765584455082832,0.793881024888898,0.779732739985865,0.779732739985865
3299,1998,Female,1,0.861521370044492,0.345430255611972,0.849729661902483,0.873313078186502,0.779732739985865,0.779732739985865
3412,1993,Male,0,0.683215803884627,0.465265061634555,0.667598784368761,0.698832823400494,0.683215803884627,0.760688395562287
3412,1993,Female,1,0.836680819242105,0.369689614934209,0.824271871295406,0.849089767188803,0.683215803884627,0.760688395562287
3580,1991,Male,0,0.641458708936569,0.479612119015076,0.625742650964956,0.657174766908183,0.641458708936569,0.718931300614229
3580,1991,Female,1,0.83433133877051,0.371815516880915,0.822147588639162,0.846515088901858,0.641458708936569,0.718931300614229
3587,1996,Female,1,0.84734612214055,0.359682460654345,0.835571464933038,0.859120779348063,0.717153794198011,0.794626385875671
3587,1996,Male,0,0.717153794198011,0.450421729741632,0.702408673023979,0.731898915372044,0.717153794198011,0.794626385875671
3621,1992,Female,1,0.839593032258511,0.367015128334613,0.827634908968352,0.85155115554867,0.677396108935548,0.754868700613208
3621,1992,Male,0,0.677396108935548,0.467511710334901,0.662163596049373,0.692628621821722,0.677396108935548,0.754868700613208
3716,1989,Female,1,0.841123015357625,0.365592453020952,0.829364595112424,0.852881435602825,0.657667981092347,0.735140572770007
3716,1989,Male,0,0.657667981092347,0.474528275923301,0.64240589665808,0.672930065526614,0.657667981092347,0.735140572770007
3754,1990,Female,1,0.828693964068242,0.376808126731494,0.816636352141695,0.840751575994789,0.668932782427335,0.746405374104995
3754,1990,Male,0,0.668932782427335,0.470635473079424,0.653872757203139,0.683992807651531,0.668932782427335,0.746405374104995
3797,1994,Male,0,0.671994382248244,0.469523566988242,0.657055308004972,0.686933456491515,0.671994382248244,0.749466973925904
3797,1994,Female,1,0.812848098535115,0.390065530431134,0.800437181749339,0.825259015320891,0.671994382248244,0.749466973925904
3996,1995,Female,1,0.848719757345904,0.358349860127618,0.83760566021535,0.859833854476457,0.680315179705936,0.757787771383596
3996,1995,Male,0,0.680315179705936,0.466390189095918,0.66585024909175,0.694780110320122,0.680315179705936,0.757787771383596
