n,year18,group,shape,order_shape,status,multiaes,order_multiaes,groupvar,y,se,ymin,ymax
299,1992,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.648865743348687,,,
299,1992,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.0527604781497174,,,
316,1992,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.844834125500388,,,
316,1992,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.0331801819166992,,,
341,1993,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.593674718672891,,,
341,1993,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.0223597370306273,,,
356,1993,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.745970884585501,,,
356,1993,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,-0.0516530247565387,,,
420,1994,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.551244948456804,,,
420,1994,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,-0.00591238185362975,,,
432,2001,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.716840381183576,,,
432,2001,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,-0.0349246739679681,,,
440,2000,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.760939769385534,,,
440,2000,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.0104909265791093,,,
466,2001,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.55479573470244,,,
466,2001,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.0451074229670909,,,
477,1999,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.792917348358415,,,
477,1999,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.043226537137591,,,
485,1998,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.775964473014895,,,
485,1998,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.0137750805093756,,,
503,1994,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.765676414413026,,,
503,1994,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,-0.0123913155434142,,,
503,1995,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.816128544707201,,,
503,1995,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.0215112394524137,,,
504,1998,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.54772010114955,,,
504,1998,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.00829170708729754,,,
508,1997,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.746521810367933,,,
508,1997,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,-0.0296962713513849,,,
526,2000,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.50911382218642,,,
526,2000,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,-0.0289939432127093,,,
531,1996,2,Male- Other Europe,2,treated,Individual control groups,1,2 treated,0.820438563874704,,,
531,1996,2,Male- Other Europe,2,difference,Individual control groups,1,2 difference,0.0434770691911595,,,
532,1995,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.589905065588781,,,
532,1995,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.00918456937474321,,,
534,1996,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.54733243450805,,,
534,1996,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,-0.0178307951543143,,,
542,1997,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.564321179508992,,,
542,1997,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,0.0132199863151351,,,
551,1999,5,Female - Other Europe,3,treated,Individual control groups,1,5 treated,0.506844186063758,,,
551,1999,5,Female - Other Europe,3,difference,Individual control groups,1,5 difference,-0.0416193261358914,,,
801,1993,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.75907247025069,,,
801,1993,3,Male - Africa,4,difference,Individual control groups,1,3 difference,0.0101044940241674,,,
823,1992,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.743396946723247,,,
823,1992,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.0132268982743436,,,
848,1992,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.662043604210367,,,
848,1992,6,Female - Africa,5,difference,Individual control groups,1,6 difference,0.00258254879128628,,,
919,1993,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.658426700695198,,,
919,1993,6,Female - Africa,5,difference,Individual control groups,1,6 difference,0.0189938194151523,,,
999,2001,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.663290600106146,,,
999,2001,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.0429465194767037,,,
1004,1994,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.7504375372569,,,
1004,1994,3,Male - Africa,4,difference,Individual control groups,1,3 difference,0.00881669449610478,,,
1017,1999,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.715345096945205,,,
1017,1999,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.00171410887828372,,,
1053,2001,1,"",8,treated,Male - EU (treated),4,1 treated,0.854194529070268,,,
1053,2001,1,"",8,synthetic control,Synthetic control,2,1 synthetic control,0.66118413378091,,,
1053,2001,1,"",8,counterfactual,Counterfactual,3,1 counterfactual,0.845269758181377,,,
1053,2001,1,"",8,difference,Male - EU (treated),4,1 difference,0.00892477088889132,0.0167727616843702,-0.0239498420124742,0.0417993837902569
1076,2000,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.715926552051378,,,
1076,2000,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.00222387004170999,,,
1096,1997,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.756902609380092,,,
1096,1997,3,Male - Africa,4,difference,Individual control groups,1,3 difference,0.0267700046981871,,,
1115,1994,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.617266895573644,,,
1115,1994,6,Female - Africa,5,difference,Individual control groups,1,6 difference,-0.0105782966693296,,,
1116,1996,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.754471001239228,,,
1116,1996,3,Male - Africa,4,difference,Individual control groups,1,3 difference,0.014466515147913,,,
1144,1998,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.69014758415756,,,
1144,1998,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.0327145407090691,,,
1166,1995,3,Male - Africa,4,treated,Individual control groups,1,3 treated,0.722944799874545,,,
1166,1995,3,Male - Africa,4,difference,Individual control groups,1,3 difference,-0.0278594397972597,,,
1205,2001,4,Female - European Union,1,treated,Individual control groups,1,4 treated,0.817336934666158,,,
1205,2001,4,Female - European Union,1,difference,Individual control groups,1,4 difference,0.0374857688803723,,,
1231,2000,1,"",8,treated,Male - EU (treated),4,1 treated,0.876574303596893,,,
1231,2000,1,"",8,synthetic control,Synthetic control,2,1 synthetic control,0.676821461781512,,,
1231,2000,1,"",8,counterfactual,Counterfactual,3,1 counterfactual,0.860907086181978,,,
1231,2000,1,"",8,difference,Male - EU (treated),4,1 difference,0.0156672174149153,0.0153256613370715,-0.0143710788057448,0.0457055136355754
1242,1999,1,"",8,treated,Male - EU (treated),4,1 treated,0.890686734302644,,,
1242,1999,1,"",8,synthetic control,Synthetic control,2,1 synthetic control,0.675914130927181,,,
1242,1999,1,"",8,counterfactual,Counterfactual,3,1 counterfactual,0.859999755327647,,,
1242,1999,1,"",8,difference,Male - EU (treated),4,1 difference,0.0306869789749971,0.0143614067411104,0.00253862176242077,0.0588353361875734
1252,2000,4,Female - European Union,1,treated,Individual control groups,1,4 treated,0.817195585466307,,,
1252,2000,4,Female - European Union,1,difference,Individual control groups,1,4 difference,0.0123395329607656,,,
1291,2001,7,Male - Arrived by age 6,6,treated,Individual control groups,1,7 treated,0.708308138133182,,,
1291,2001,7,Male - Arrived by age 6,6,difference,Individual control groups,1,7 difference,0.00877425038207347,,,
1310,1997,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.629502791180217,,,
1310,1997,6,Female - Africa,5,difference,Individual control groups,1,6 difference,0.00784115369125804,,,
1311,2001,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.542552193607018,,,
1311,2001,6,Female - Africa,5,difference,Individual control groups,1,6 difference,-0.0553193412718611,,,
1312,1995,6,Female - Africa,5,treated,Individual control groups,1,6 treated,0.652788221001109,,,
1312,1995,6,Female - Africa,5,difference,Individual control groups,1,6 difference,0.0129609875707629,,,
